Date,Temperature,Humidity,WindSpeed,Precipitation
2024-01-01,5.1,82,14.0,0.0
2024-01-02,6.3,81,13.5,0.0
2024-01-03,4.8,80,15.2,0.0
2024-01-04,3.9,78,16.0,0.0
2024-01-05,2.1,75,12.0,0.0
2024-01-06,1.3,77,10.5,0.2
2024-01-07,0.5,79,11.8,0.4
2024-01-08,-0.1,81,13.2,0.8
2024-01-09,-1.3,83,14.6,1.0
2024-01-10,-2.4,85,15.9,1.2
2024-01-11,-3.6,87,17.3,1.5
2024-01-12,-4.7,88,18.7,1.8
2024-01-13,-5.9,89,20.0,2.0
2024-01-14,-7.1,90,21.4,2.2
2024-01-15,-8.2,91,22.8,2.5
2024-01-16,-9.4,92,24.1,2.8
2024-01-17,-10.5,93,25.5,3.0
2024-01-18,-11.7,94,26.9,3.3
2024-01-19,-12.8,95,28.2,3.6
2024-01-20,-13.9,96,29.6,4.0
